"id_barrier","id_links","type","pass_u","pass_d","num","den","index","index_bl","d_index","source","lon","lat","geometry"
588,198,"dam",0,0,NA,NA,NA,NA,NA,NA,-819283.932,-1074199.174,c(-819283.932, -1074199.174)
590,199,"dam",0,0,NA,NA,NA,NA,NA,NA,-819830.829999998,-1073829.904,c(-819830.829999998, -1073829.904)
591,200,"dam",0,0,NA,NA,NA,NA,NA,NA,-819671.579999998,-1073279.65,c(-819671.579999998, -1073279.65)
592,201,"dam",0,0,NA,NA,NA,NA,NA,NA,-813412.789000001,-1089625.86,c(-813412.789000001, -1089625.86)
593,202,"dam",0,0,NA,NA,NA,NA,NA,NA,-813419.579999998,-1088804.851,c(-813419.579999998, -1088804.851)
594,203,"dam",0,0,NA,NA,NA,NA,NA,NA,-813144.184,-1088328.438,c(-813144.184, -1088328.438)
595,204,"dam",0,0,NA,NA,NA,NA,NA,NA,-813517.774,-1087950.746,c(-813517.774, -1087950.746)
596,205,"dam",0,0,NA,NA,NA,NA,NA,NA,-813899.124000002,-1087833.113,c(-813899.124000002, -1087833.113)
597,206,"dam",0,0,NA,NA,NA,NA,NA,NA,-809330.552000001,-1003650.7,c(-809330.552000001, -1003650.7)
598,207,"dam",1,1,NA,NA,NA,NA,NA,NA,-807324.140000001,-1002138.98,c(-807324.140000001, -1002138.98)
600,208,"dam",1,1,NA,NA,NA,NA,NA,NA,-806700.221999999,-1002290.281,c(-806700.221999999, -1002290.281)
601,209,"dam",1,1,NA,NA,NA,NA,NA,NA,-792522.620000001,-1049627.49,c(-792522.620000001, -1049627.49)
602,210,"dam",1,1,NA,NA,NA,NA,NA,NA,-785614.759,-1044773.054,c(-785614.759, -1044773.054)
603,211,"dam",1,1,NA,NA,NA,NA,NA,NA,-783540.842999998,-1044207.021,c(-783540.842999998, -1044207.021)
604,212,"dam",1,1,NA,NA,NA,NA,NA,NA,-795490.434999999,-1049344.806,c(-795490.434999999, -1049344.806)
605,213,"dam",1,1,NA,NA,NA,NA,NA,NA,-806947.07,-1052406.317,c(-806947.07, -1052406.317)
606,214,"dam",1,1,NA,NA,NA,NA,NA,NA,-804195.646000002,-1051166.779,c(-804195.646000002, -1051166.779)
607,215,"dam",1,1,NA,NA,NA,NA,NA,NA,-801066.225000001,-1052094.067,c(-801066.225000001, -1052094.067)
608,216,"dam",1,1,NA,NA,NA,NA,NA,NA,-796499.234000001,-1049767.546,c(-796499.234000001, -1049767.546)
610,217,"dam",1,1,NA,NA,NA,NA,NA,NA,-760676.329999998,-992317.219999999,c(-760676.329999998, -992317.219999999)
611,218,"dam",1,1,NA,NA,NA,NA,NA,NA,-772558.875999998,-1005847.804,c(-772558.875999998, -1005847.804)
